// K-L3,K-L2,K-M3,K-N3,K-M2,K-N5,K-M5,L3-N2,L3-N3,L3-O2,L3-O3,L3-P1,L3-M5,L3-M4,L3-N4,L3-N5,L3-O4,L3-N1,L3-O1,L3-M1,L3-M3,L3-M2,L3-N6,L2-M2,L2-M5,L2-N2,L2-N3,L2-N5,L2-O2,L2-O3,L2-P2,L2-M4,L2-M3,L2-N4,L2-N1,L2-O4,L2-O1,L2-M1,L2-N6,L1-M1,L1-N1,L1-N4,L1-O1,L1-O4,L1-M4,L1-M3,L1-M2,L1-M5,L1-N2,L1-N5,L1-N3,L1-O3,L1-O2,M1-N2,M1-N3,M2-M4,M2-N1,M2-N4,M2-O4,M3-M4,M3-M5,M3-N1,M3-N4,M3-O1,M3-O4,M3-O5,M3-N5,M4-N3,M4-O2,M4-N6,M4-N2,M5-O3,M5-N7,M5-N6,M5-N3,N4-N6,N5-N6
1,0.5,0.15,0.05,0.15,0.00001,0.0005,0,0,0,0,0,1,0.1135,0,0.05839,0,0,0.0004,0.0412,0,0,0,0,0,0,0.0027,0,0,0,0,0.32951,0.0001,0.01744,0.0023,0,0.0001,0.0127,0,0,0,0,0,0,0,0.0644,0.03759,0,0.00063,0.0001,0.0111,0,0,0,0,0.0001,0.0005,0.01,0,0.0001,0.0001,0.01,0,0,0,0,0.2,0,0.005,0,0.01,0,0,0,0.1,0,0
1,0.5,0.15,0.05,0.15,0.00001,0.0005,0,0,0,0,0,1,0.1134,0,0.07259,0,0,0.0004,0.0411,0,0,0,0,0,0,0.0027,0,0,0,0,0.33039,0.0001,0.02176,0.0023,0,0.0001,0.0126,0,0,0,0,0,0,0,0.0654,0.0385,0,0.00067,0.0001,0.0115,0,0,0,0,0.0001,0.05,0.01,0,0.0001,0.0001,0.01,0,0,0,0,0.2,0,0.0001,0,0.01,0,0,0,0.1,0,0
1,0.5,0.15,0.05,0.15,0.00001,0.0005,0,0,0,0,0,1,0.1134,0,0.08539,0,0,0.0004,0.0411,0,0,0,0,0,0,0.0027,0,0,0,0,0.33463,0.0001,0.02623,0.0024,0,0.0001,0.0126,0,0,0,0,0,0,0,0.06669,0.0395,0,0.0007,0.0001,0.0121,0,0,0,0,0.0001,0.05,0.01,0,0,0.0001,0.01,0,0,0,0,0.2,0,0.001,0,0.01,0,0,0,0.1,0,0
1,0.5,0.15,0.05,0.15,0.00001,0.0005,0,0,0,0,0,1,0.1134,0,0.10349,0,0,0.0004,0.0412,0,0,0,0,0,0,0.0027,0,0,0,0,0.34375,0.0001,0.03256,0.0024,0,0.0001,0.0129,0,0,0,0,0,0,0.0054,0.0682,0.0407,0,0.00074,0.0001,0.0125,0,0,0,0,0.0001,0.05,0.01,0,0,0.0001,0.01,0,0,0,0,0.2,0,0.001,0,0.01,0,0,0,0.1,0,0
1,0.5,0.15,0.05,0.15,0.00001,0.0005,0,0,0,0,0,1,0.1128,0,0.1165,0,0,0.0004,0.04129,0,0,0,0,0,0,0.0027,0,0,0,0,0.35175,0.0001,0.03735,0.0025,0,0.0001,0.0131,0,0,0,0,0,0,0.0054,0.0737,0.0444,0,0.00082,0.0001,0.014,0,0,0,0,0.0001,0.05,0.01,0,0,0.0001,0.01,0,0,0,0,0.2,0,0.0001,0,0.01,0,0,0,0.1,0,0
1,0.5,0.15,0.05,0.15,0.00001,0.0005,0,0,0,0,0,1,0.1139,0,0.1288,0,0,0.0004,0.04169,0,0,0,0,0,0,0.0027,0,0,0,0,0.35704,0.0001,0.0416,0.0026,0,0.0003,0.0132,0,0,0,0,0,0,0.0054,0.07719,0.0469,0,0.00089,0.0001,0.0151,0,0,0,0,0.0001,0.05,0.01,0,0,0.0001,0.01,0,0,0,0,0.2,0,0.001,0,0.01,0.0001,0,0,0.1,0,0
1,0.5,0.15,0.05,0.15,0.00001,0.0005,0,0,0,0,0,1,0.1132,0,0.1371,0,0,0.0004,0.0415,0,0,0,0,0,0,0.0027,0,0,0,0,0.3616,0.0002,0.04535,0.0027,0,0.0003,0.0132,0,0,0,0,0,0,0.0054,0.08779,0.05349,0,0.00105,0.0002,0.0177,0.0003,0,0,0,0.0001,0.05,0.01,0,0,0.0001,0.01,0,0,0,0,0.2,0,0.001,0,0.01,0.0001,0,0,0.1,0,0
1,0.5,0.15,0.05,0.15,0.00001,0.0005,0,0,0,0,0,1,0.1134,0,0.14689,0,0,0.0004,0.0416,0,0,0,0,0,0,0.0027,0,0,0,0,0.43456,0.0002,0.058,0.0032,0,0.0004,0.0158,0,0,0,0,0,0,0.0054,0.1547,0.0948,0,0.00193,0.0003,0.0321,0.0016,0,0,0,0.0001,0.05,0.01,0,0,0.0001,0.01,0,0,0,0,0.2,0,0.001,0,0.01,0.0001,0,0,0.1,0,0
1,0.5,0.15,0.05,0.15,0.00001,0.0005,0,0,0,0,0,1,0.1135,0,0.1556,0,0,0.0004,0.0419,0,0,0,0,0,0,0.0027,0,0,0,0,0.4276,0.0002,0.06064,0.0032,0,0.0004,0.0155,0,0,0,0,0,0,0.0054,0.15099,0.0932,0,0.00194,0.0003,0.0321,0.0027,0,0,0,0.0001,0.11,0.01,0,0,0.0001,0.022,0,0,0,0,0.2,0,0.001,0,0.01,0.0001,0,0,0.1,0,0
1,0.5,0.15,0.05,0.15,0.00001,0.0005,0,0,0,0,0,1,0.1128,0,0.16269,0,0,0.0004,0.0419,0,0,0,0,0,0,0.0027,0,0,0,0,0.43183,0.0002,0.06375,0.0033,0,0.0005,0.0154,0,0,0,0,0,0,0.0054,0.1458,0.0906,0,0.00193,0.0003,0.0317,0.0039,0,0,0,0,0.4,0.01,0,0,0.0001,0.08,0,0,0,0,0.2,0,0.001,0,0.01,0.0001,0,0,0.1,0,0
